good_id,coicop_code,category_name,product_name,unit_size,price_usd,source_sheet,coicop_division,coicop_group,quantity,gdp_contribution,_clone_count
1,01.1.1.1,Cereals,Brown Jasmine Rice,32 oz,4.49,Product Data,01,1.1,53866,241858.34000000003,0
2,01.1.1.1,Cereals,Buckwheat Groats,1 lb,2.91,Product Data,01,1.1,15273,44444.43,0
3,01.1.1.1,Cereals,Bulgur Wheat,12 oz,2.99,Product Data,01,1.1,8957,26781.43,0
4,01.1.1.1,Cereals,Long Grain White Rice,2 lb,2.6,Product Data,01,1.1,61324,159491.86129270057,0
5,01.1.1.1,Cereals,Organic Quinoa,1 lb,6.99,Product Data,01,1.1,27236,190379.64,0
6,01.1.1.1,Cereals,Pearl Barley,16 oz,1.89,Product Data,01,1.1,25033,47312.369999999995,1
7,01.1.1.2,Flour of cereals,All-Purpose Wheat Flour,5 lb,4.99,Product Data,01,1.1,23445,116990.55,0
8,01.1.1.2,Flour of cereals,Corn Flour (Masa Harina),4 lb,4.29,Product Data,01,1.1,17334,74362.86,0
9,01.1.1.2,Flour of cereals,Rye Flour,2 lb,4.45,Product Data,01,1.1,60958,271263.10000000003,0
10,01.1.1.2,Flour of cereals,Self-Rising Flour,5 lb,5.29,Product Data,01,1.1,14622,77350.38,0
11,01.1.1.2,Flour of cereals,Whole Wheat Flour,5 lb,5.49,Product Data,01,1.1,56587,310662.63,0
12,01.1.1.3,Bread and bakery products,Baguette,Each,2.99,Product Data,01,1.1,61261,183170.39,0
13,01.1.1.3,Bread and bakery products,Corn Tortillas,30 ct,2.19,Product Data,01,1.1,46988,102903.72,0
14,01.1.1.3,Bread and bakery products,English Muffins,6 ct,3.49,Product Data,01,1.1,13489,47076.61,0
15,01.1.1.3,Bread and bakery products,Multigrain Loaf,22 oz,4.49,Product Data,01,1.1,50288,225793.12000000002,0
16,01.1.1.3,Bread and bakery products,Pita Bread,6 ct,3.99,Product Data,01,1.1,37968,151492.32,0
17,01.1.1.3,Bread and bakery products,Plain Bagels,6 ct,4.6,Product Data,01,1.1,9456,43482.34560149466,0
18,01.1.1.3,Bread and bakery products,White Sliced Bread,20 oz,2.48,Product Data,01,1.1,9314,23098.72,0
19,01.1.1.3,Bread and bakery products,Whole Grain Sourdough,24 oz,5.76,Product Data,01,1.1,13979,80519.04,0
20,01.1.1.4,Breakfast cereals,Corn Flakes,18 oz,4.86,Product Data,01,1.1,23115,112338.90000000001,1
21,01.1.1.4,Breakfast cereals,Granola with Nuts,12 oz,5.35,Product Data,01,1.1,24132,129207.96352842805,0
22,01.1.1.4,Breakfast cereals,Honey Nut Cheerios,15 oz,4.99,Product Data,01,1.1,44061,219864.39,0
23,01.1.1.4,Breakfast cereals,Muesli,16 oz,5.49,Product Data,01,1.1,51127,280687.23000000004,0
24,01.1.1.4,Breakfast cereals,Old Fashioned Rolled Oats,42 oz,5.99,Product Data,01,1.1,9073,54347.270000000004,0
25,01.1.1.5,Pasta products,Couscous,10 oz,3.29,Product Data,01,1.1,48147,158403.63,1
26,01.1.1.5,Pasta products,Egg Noodles,12 oz,2.99,Product Data,01,1.1,21661,64766.39000000001,0
27,01.1.1.5,Pasta products,Fusilli,1 lb,1.37,Product Data,01,1.1,59459,81458.83,0
28,01.1.1.5,Pasta products,Penne Rigate,1 lb,1.49,Product Data,01,1.1,54624,81389.76,0
29,01.1.1.5,Pasta products,Spaghetti,1 lb,1.39,Product Data,01,1.1,58389,81160.70999999999,0
30,01.1.1.9,Other milled cereal,Malt Extract,16 oz,7.09,Product Data,01,1.1,46961,332953.49,0
31,01.1.1.9,Other milled cereal,Panko Breadcrumbs,8 oz,2.49,Product Data,01,1.1,37790,94097.1,0
32,01.1.1.9,Other milled cereal,Popcorn Kernels,32 oz,3.7,Product Data,01,1.1,23240,85988.0,0
33,01.1.1.9,Other milled cereal,Rice Cakes,4.5 oz,3.29,Product Data,01,1.1,39958,131461.82,1
34,01.1.2.2,"Meat, fresh",Chicken Breasts (Boneless),1 lb,4.99,Product Data,01,1.1,50199,250493.01,0
35,01.1.2.2,"Meat, fresh",Duck Breast,1 lb,17.11,Product Data,01,1.1,27459,469823.49,0
36,01.1.2.2,"Meat, fresh",Ground Beef (80/20),1 lb,5.15,Product Data,01,1.1,66284,341362.60000000003,0
37,01.1.2.2,"Meat, fresh",Lamb Shouts/Chops,1 lb,11.07,Product Data,01,1.1,70664,782250.48,0
38,01.1.2.2,"Meat, fresh",Pork Loin Chops,1 lb,3.72,Product Data,01,1.1,7610,28309.2,0
39,01.1.2.2,"Meat, fresh",Ribeye Steak (Choice),1 lb,14.99,Product Data,01,1.1,62591,938239.09,0
40,01.1.2.2,"Meat, fresh",Whole Turkey,1 lb,2.49,Product Data,01,1.1,66025,164402.25,0
41,01.1.2.3,"Meat, dried/salted",Beef Jerky,3 oz,6.42,Product Data,01,1.1,18797,120676.74,0
42,01.1.2.3,"Meat, dried/salted",Hard Salami,8 oz,6.14,Product Data,01,1.1,58157,357083.98,0
43,01.1.2.3,"Meat, dried/salted",Honey Ham Slices,8 oz,4.91,Product Data,01,1.1,38022,186855.37350499906,0
44,01.1.2.3,"Meat, dried/salted",Prosciutto,4 oz,9.97,Product Data,01,1.1,32000,319040.0,0
45,01.1.2.3,"Meat, dried/salted",Smoked Bacon,16 oz,7.99,Product Data,01,1.1,27441,219253.59,0
46,01.1.2.4,Offal,Beef Liver,1 lb,4.49,Product Data,01,1.1,18494,83038.06,0
47,01.1.2.4,Offal,Chicken Gizzards,1 lb,2.99,Product Data,01,1.1,22865,68366.35,0
48,01.1.2.4,Offal,Ox Tail,1 lb,10.96,Product Data,01,1.1,62930,689712.8,1
49,01.1.2.5,Meat preparations,Beef Franks/Hot Dogs,12 oz,5.99,Product Data,01,1.1,31732,190074.68,0
50,01.1.2.5,Meat preparations,Chicken Nuggets (Frozen),32 oz,8.49,Product Data,01,1.1,14604,123987.96,0
51,01.1.2.5,Meat preparations,Italian Sausages,19 oz,6.49,Product Data,01,1.1,13908,90262.92,0
52,01.1.2.5,Meat preparations,Meatballs (Frozen),20 oz,7.49,Product Data,01,1.1,34899,261393.51,0
53,01.1.3.1,"Fish, fresh/frozen",Fresh Atlantic Salmon Fillet,1 lb,12.99,Product Data,01,1.1,14202,184483.98,0
54,01.1.3.1,"Fish, fresh/frozen",Fresh Tilapia Fillets,1 lb,7.49,Product Data,01,1.1,33365,249903.85,0
55,01.1.3.1,"Fish, fresh/frozen",Frozen Cod Fillets,1 lb,8.58,Product Data,01,1.1,69067,592594.86,0
56,01.1.3.1,"Fish, fresh/frozen",Whole Sea Bass,1 lb,10.99,Product Data,01,1.1,32268,354625.32,0
57,01.1.3.2,"Fish, dried/salted",Dried Salted Cod (Bacalao),1 lb,14.49,Product Data,01,1.1,51252,742641.48,0
58,01.1.3.2,"Fish, dried/salted",Smoked Salmon (Lox),4 oz,10.23,Product Data,01,1.1,26460,270685.8,1
59,01.1.3.3,Fish preparations,Canned Chunk Light Tuna,5 oz,1.16,Product Data,01,1.1,66115,76693.4,0
60,01.1.3.3,Fish preparations,Fish Sticks (Frozen),24 oz,6.99,Product Data,01,1.1,10304,72024.96,0
